Name,Url,Star Count,Fork Count
etec-tectok-teclados,https://github.com/luisfelipesdn12/etec-tectok-teclados,5,3
User-Account-Sign-up-and-Sign-in,https://github.com/MusheAbdulHakim/User-Account-Sign-up-and-Sign-in,5,2
php-event-dispatcher,https://github.com/devcoder-xyz/php-event-dispatcher,5,1
cms,https://github.com/coffeecms/cms,5,1
sql-anywhere-client,https://github.com/cagartner/sql-anywhere-client,4,11
h5p-bundle,https://github.com/Emmedy/h5p-bundle,4,8
dailyShop,https://github.com/pyxploiter/dailyShop,4,8
docker-lamp,https://github.com/andreipa/docker-lamp,4,5
CodeIgniter-Ajax-Search,https://github.com/Nsima/CodeIgniter-Ajax-Search,4,4
cek-ongkir,https://github.com/hajirodeon/cek-ongkir,4,4
Online-Bookshop-with-laravel,https://github.com/tahmid-ni7/Online-Bookshop-with-laravel,4,4
convert-accent-characters,https://github.com/rap2hpoutre/convert-accent-characters,4,3
esendex-notifier,https://github.com/symfony/esendex-notifier,4,3
dandomain-api,https://github.com/loevgaard/dandomain-api,4,3
FfsNodeAlarm,https://github.com/Philhil/FfsNodeAlarm,4,3
php_nml,https://github.com/nelson6e65/php_nml,4,3
gitodin-php-client,https://github.com/GitOdin-Official/gitodin-php-client,4,3
open-genes-cms,https://github.com/open-genes/open-genes-cms,4,2
rpi-php,https://github.com/Tob1asDocker/rpi-php,4,2
sysgenad,https://github.com/bjverde/sysgenad,4,2
MetaScrapper,https://github.com/hojabbr/MetaScrapper,4,2
object-intruder,https://github.com/duncan3dc/object-intruder,4,2
Mysql-php-Crud-Operation,https://github.com/priyankvadaliya/Mysql-php-Crud-Operation,4,2
container,https://github.com/gravataLonga/container,4,2
xml-builder-php,https://github.com/lib16/xml-builder-php,4,2
php-file-sync,https://github.com/DivineOmega/php-file-sync,4,2
SD_Project,https://github.com/ekramasif/SD_Project,4,1
pasm,https://github.com/wise-penny/pasm,4,1
php-avatar-generator,https://github.com/fabian-tomischka/php-avatar-generator,4,1
mercadolibre,https://github.com/docta/mercadolibre,4,1
array-validation,https://github.com/diogocavilha/array-validation,4,1
JungiThemeBundle,https://github.com/piku235/JungiThemeBundle,4,1
php-core,https://github.com/stupidlysimple/php-core,4,1
agency-iha,https://github.com/bilginpro/agency-iha,4,1
phpdl,https://github.com/TheFox/phpdl,4,1
proxyz,https://github.com/rezen/proxyz,4,1
ci-wechat-dev,https://github.com/pythonsir/ci-wechat-dev,4,1
XSLT-PHP-Template-Engine,https://github.com/pH-7/XSLT-PHP-Template-Engine,4,1
querido-diario-php,https://github.com/LibreCodeCoop/querido-diario-php,4,1
BaseForMyPHPApps,https://github.com/gentildpinto/BaseForMyPHPApps,4,1
what2watch,https://github.com/Mickroz/what2watch,4,1
